Entity,Code,Year,consumption
Australia,AUS,2015,10.83
Cyprus,CYP,2018,10.81
Nigeria,NGA,2015,10.81
Finland,FIN,2018,10.78
Cyprus,CYP,2015,10.76
Greece,GRC,2005,10.73
Laos,LAO,2018,10.72
Netherlands,NLD,2005,10.71
High-income countries,,2000,10.679386
New Zealand,NZL,2018,10.63
Poland,POL,2005,10.6
Saint Lucia,LCA,2018,10.6
Gabon,GAB,2000,10.59
South Korea,KOR,2005,10.58
Australia,AUS,2018,10.51
Greece,GRC,2015,10.49
High-income countries,,2005,10.48385
New Zealand,NZL,2015,10.44
New Zealand,NZL,2000,10.42
Italy,ITA,2000,10.37
Denmark,DNK,2015,10.36
Croatia,HRV,2005,10.31
Rwanda,RWA,2010,10.27
Denmark,DNK,2018,10.26
Netherlands,NLD,2010,10.21
Seychelles,SYC,2010,10.19
Greece,GRC,2000,10.18
Greece,GRC,2018,10.18
Ukraine,UKR,2015,10.16
Canada,CAN,2010,10.1
Croatia,HRV,2010,10.08
Kyrgyzstan,KGZ,2010,10.08
Europe and Central Asia (WB),,2015,10.070658
Laos,LAO,2015,10.05
Eswatini,SWZ,2018,10.04
South Africa,ZAF,2010,10.04
South Korea,KOR,2015,10.04
Spain,ESP,2010,10.03
South Africa,ZAF,2000,10.02
South Korea,KOR,2010,9.97
Saint Lucia,LCA,2015,9.96
Gabon,GAB,2010,9.89
United States,USA,2018,9.87
Eswatini,SWZ,2015,9.84
Burundi,BDI,2000,9.82
United States,USA,2015,9.82
High-income countries,,2018,9.802976
Grenada,GRD,2000,9.8
High-income countries,,2015,9.791357
North America (WB),,2018,9.772323
Europe and Central Asia (WB),,2018,9.756709
Tanzania,TZA,2010,9.74
North America (WB),,2015,9.722644
South Korea,KOR,2018,9.7
High-income countries,,2010,9.694412
Barbados,BRB,2018,9.69
Saint Lucia,LCA,2010,9.69
Georgia,GEO,2010,9.67
Greece,GRC,2010,9.67
Argentina,ARG,2018,9.65
Dominica,DMA,2010,9.65
Mongolia,MNG,2010,9.65
Botswana,BWA,2005,9.61
Georgia,GEO,2015,9.61
Netherlands,NLD,2018,9.61
South Africa,ZAF,2015,9.61
South Africa,ZAF,2005,9.58
Estonia,EST,2000,9.57
Gabon,GAB,2015,9.57
Argentina,ARG,2015,9.55
Netherlands,NLD,2015,9.55
South Africa,ZAF,2018,9.52
Saint Kitts and Nevis,KNA,2000,9.51
North America (WB),,2005,9.49
Sweden,SWE,2010,9.49
United States,USA,2005,9.49
Grenada,GRD,2018,9.48
Kyrgyzstan,KGZ,2000,9.45
Saint Kitts and Nevis,KNA,2010,9.45
North America (WB),,2010,9.436008
Venezuela,VEN,2005,9.42
Italy,ITA,2005,9.41
Gabon,GAB,2005,9.36
United States,USA,2010,9.36
Barbados,BRB,2015,9.33
Kazakhstan,KAZ,2005,9.33
Chile,CHL,2010,9.31
Congo,COG,2018,9.27
Chile,CHL,2015,9.26
Rwanda,RWA,2015,9.26
Croatia,HRV,2018,9.23
Estonia,EST,2018,9.23
Equatorial Guinea,GNQ,2010,9.2
Burkina Faso,BFA,2005,9.19
North America (WB),,2000,9.19
United States,USA,2000,9.19
Poland,POL,2000,9.17
Venezuela,VEN,2000,9.15
Sweden,SWE,2015,9.13
Iceland,ISL,2018,9.12
Argentina,ARG,2010,9.09
Equatorial Guinea,GNQ,2015,9.08
Chile,CHL,2018,9.07
Croatia,HRV,2015,9.07
Grenada,GRD,2015,9.07
Saint Vincent and the Grenadines,VCT,2018,9.06
Botswana,BWA,2000,9.05
Guyana,GUY,2000,8.98
Rwanda,RWA,2018,8.95
Canada,CAN,2018,8.94
Norway,NOR,2010,8.94
Saint Kitts and Nevis,KNA,2018,8.94
Chile,CHL,2005,8.93
Sweden,SWE,2018,8.93
Equatorial Guinea,GNQ,2005,8.91
Canada,CAN,2015,8.88
Saint Kitts and Nevis,KNA,2015,8.88
Norway,NOR,2005,8.87
Brazil,BRA,2000,8.78
Grenada,GRD,2005,8.76
Latvia,LVA,2000,8.76
Argentina,ARG,2000,8.75
Serbia,SRB,2018,8.75
Gabon,GAB,2018,8.74
Iceland,ISL,2015,8.74
Dominica,DMA,2005,8.72
Sao Tome and Principe,STP,2005,8.72
Tanzania,TZA,2005,8.71
Serbia,SRB,2015,8.7
Venezuela,VEN,2010,8.67
Argentina,ARG,2005,8.66
Vietnam,VNM,2018,8.66
Sweden,SWE,2005,8.64
Tanzania,TZA,2000,8.63
Botswana,BWA,2010,8.62
Burkina Faso,BFA,2010,8.58
Sweden,SWE,2000,8.53
Brazil,BRA,2010,8.49
Saint Vincent and the Grenadines,VCT,2015,8.46
Burundi,BDI,2005,8.44
Cameroon,CMR,2010,8.43
Burkina Faso,BFA,2000,8.4
Dominica,DMA,2000,8.38
Thailand,THA,2015,8.36
Sao Tome and Principe,STP,2010,8.34
Brazil,BRA,2005,8.32
Ukraine,UKR,2018,8.32
Grenada,GRD,2010,8.31
Thailand,THA,2018,8.3
Georgia,GEO,2018,8.25
Japan,JPN,2000,8.23
Sao Tome and Principe,STP,2000,8.2
Mongolia,MNG,2018,8.19
Kazakhstan,KAZ,2000,8.18
Angola,AGO,2010,8.16
Uruguay,URY,2000,8.09
Japan,JPN,2005,7.99
Malta,MLT,2018,7.99
Guyana,GUY,2005,7.98
Panama,PAN,2018,7.98
Angola,AGO,2015,7.96
Japan,JPN,2018,7.96
Barbados,BRB,2010,7.95
Norway,NOR,2000,7.95
Congo,COG,2015,7.9
Japan,JPN,2015,7.87
Brazil,BRA,2015,7.86
Vietnam,VNM,2015,7.86
Italy,ITA,2018,7.84
Chile,CHL,2000,7.74
Iceland,ISL,2005,7.74
Panama,PAN,2015,7.71
Thailand,THA,2010,7.71
Albania,ALB,2010,7.69
Peru,PER,2010,7.69
Burundi,BDI,2010,7.66
Albania,ALB,2005,7.65
Cameroon,CMR,2005,7.62
Seychelles,SYC,2000,7.62
Italy,ITA,2015,7.59
Kyrgyzstan,KGZ,2015,7.59
Paraguay,PRY,2010,7.58
Paraguay,PRY,2018,7.58
Malta,MLT,2015,7.56
Norway,NOR,2015,7.52
Cape Verde,CPV,2010,7.51
Iceland,ISL,2010,7.5
Upper-middle-income countries,,2010,7.4796357
Eswatini,SWZ,2000,7.46
Uruguay,URY,2005,7.46
Equatorial Guinea,GNQ,2000,7.45
Brazil,BRA,2018,7.42
Norway,NOR,2018,7.41
Barbados,BRB,2005,7.4
Guyana,GUY,2015,7.35
Italy,ITA,2010,7.34
Bosnia and Herzegovina,BIH,2010,7.32
Latin America and Caribbean (WB),,2000,7.3106484
Lesotho,LSO,2000,7.31
North Macedonia,MKD,2000,7.31
Paraguay,PRY,2015,7.26
Cote d'Ivoire,CIV,2000,7.25
Equatorial Guinea,GNQ,2018,7.23
Latin America and Caribbean (WB),,2005,7.204892
Bosnia and Herzegovina,BIH,2005,7.2
Japan,JPN,2010,7.2
Burundi,BDI,2018,7.19
Dominican Republic,DOM,2000,7.19
Sao Tome and Principe,STP,2015,7.19
Albania,ALB,2018,7.17
Belize,BLZ,2005,7.16
Bosnia and Herzegovina,BIH,2018,7.15
China,CHN,2015,7.15
Upper-middle-income countries,,2015,7.148469
Barbados,BRB,2000,7.11
Laos,LAO,2010,7.1
Uruguay,URY,2010,7.1
Belize,BLZ,2010,7.08
China,CHN,2010,7.07
China,CHN,2018,7.05
Burundi,BDI,2015,7.03
Iceland,ISL,2000,7.03
North Macedonia,MKD,2005,7.03
Saint Vincent and the Grenadines,VCT,2010,7.03
Latin America and Caribbean (WB),,2010,7.0110974
Peru,PER,2005,6.99
Uruguay,URY,2015,6.99
Philippines,PHL,2010,6.98
Cape Verde,CPV,2005,6.95
Angola,AGO,2018,6.94
Upper-middle-income countries,,2018,6.9316425
Bosnia and Herzegovina,BIH,2015,6.92
Uruguay,URY,2018,6.92
Guyana,GUY,2018,6.89
Zambia,ZMB,2015,6.89
Trinidad and Tobago,TTO,2015,6.88
Botswana,BWA,2015,6.86
Philippines,PHL,2018,6.86
Panama,PAN,2010,6.84
Eswatini,SWZ,2010,6.82
Venezuela,VEN,2015,6.82
Thailand,THA,2005,6.81
Guyana,GUY,2010,6.78
Albania,ALB,2015,6.74
Belize,BLZ,2015,6.74
Trinidad and Tobago,TTO,2018,6.72
Eswatini,SWZ,2005,6.71
Philippines,PHL,2015,6.7
Cameroon,CMR,2000,6.69
Dominican Republic,DOM,2018,6.68
Paraguay,PRY,2005,6.66
Malta,MLT,2005,6.65
Cambodia,KHM,2018,6.64
Peru,PER,2015,6.63
Latin America and Caribbean (WB),,2015,6.626789
Dominican Republic,DOM,2015,6.61
Botswana,BWA,2018,6.59
Chad,TCD,2010,6.58
Malta,MLT,2010,6.58
Albania,ALB,2000,6.57
Oman,OMN,2000,6.56
Peru,PER,2000,6.54
Zambia,ZMB,2018,6.54
Lesotho,LSO,2010,6.5
Thailand,THA,2000,6.49
Mexico,MEX,2005,6.48
East Asia and Pacific (WB),,2015,6.4649653
Mexico,MEX,2000,6.43
East Asia and Pacific (WB),,2018,6.4286003
Georgia,GEO,2005,6.39
Antigua and Barbuda,ATG,2018,6.38
Liberia,LBR,2000,6.38
Paraguay,PRY,2000,6.38
Peru,PER,2018,6.38
Bosnia and Herzegovina,BIH,2000,6.37
Cambodia,KHM,2015,6.37
Latin America and Caribbean (WB),,2018,6.3358707
Sub-Saharan Africa (WB),,2000,6.322815
Sub-Saharan Africa (WB),,2010,6.285612
World,OWID_WRL,2015,6.2851796
World,OWID_WRL,2010,6.2632565
Kyrgyzstan,KGZ,2018,6.26
East Asia and Pacific (WB),,2010,6.249879
Belize,BLZ,2018,6.22
Suriname,SUR,2010,6.22
Trinidad and Tobago,TTO,2010,6.21
World,OWID_WRL,2018,6.170357
Cameroon,CMR,2015,6.17
Congo,COG,2010,6.17
Trinidad and Tobago,TTO,2005,6.17
Ecuador,ECU,2010,6.16
North Macedonia,MKD,2018,6.16
Dominican Republic,DOM,2005,6.15
Seychelles,SYC,2005,6.13
Liberia,LBR,2018,6.12
Dominican Republic,DOM,2010,6.11
Sub-Saharan Africa (WB),,2005,6.107132
Philippines,PHL,2000,6.06
Liberia,LBR,2005,6.05
Nauru,NRU,2000,6.04
Cape Verde,CPV,2000,6.03
Saint Vincent and the Grenadines,VCT,2005,5.99
Ecuador,ECU,2000,5.96
Cape Verde,CPV,2015,5.95
North Macedonia,MKD,2010,5.93
North Macedonia,MKD,2015,5.93
Antigua and Barbuda,ATG,2015,5.89
Sao Tome and Principe,STP,2018,5.88
Sub-Saharan Africa (WB),,2015,5.8773804
Armenia,ARM,2015,5.84
Sub-Saharan Africa (WB),,2018,5.834015
Cuba,CUB,2018,5.83
Sierra Leone,SLE,2010,5.83
Ecuador,ECU,2005,5.81
Suriname,SUR,2015,5.81
Sierra Leone,SLE,2000,5.8
Upper-middle-income countries,,2005,5.7970834
Armenia,ARM,2005,5.79
Colombia,COL,2015,5.78
Colombia,COL,2018,5.74
Nauru,NRU,2010,5.73
Malta,MLT,2000,5.72
Liberia,LBR,2015,5.7
Sierra Leone,SLE,2018,5.7
Middle-income countries,,2015,5.695716
Armenia,ARM,2010,5.69
Uzbekistan,UZB,2000,5.68
Cuba,CUB,2015,5.67
Philippines,PHL,2005,5.67
Upper-middle-income countries,,2000,5.650495
Cameroon,CMR,2018,5.65
Sierra Leone,SLE,2015,5.63
Middle-income countries,,2010,5.6086297
Antigua and Barbuda,ATG,2010,5.6
Cape Verde,CPV,2018,5.6
Middle-income countries,,2018,5.5825996
Bahamas,BHS,2000,5.58
Colombia,COL,2000,5.58
Sierra Leone,SLE,2005,5.57
Bolivia,BOL,2010,5.56
Armenia,ARM,2018,5.55
Belize,BLZ,2000,5.55
Costa Rica,CRI,2000,5.55
India,IND,2015,5.54
India,IND,2018,5.54
Mauritius,MUS,2000,5.49
Panama,PAN,2005,5.49
Panama,PAN,2000,5.48
World,OWID_WRL,2000,5.476371
Namibia,NAM,2018,5.43
Zambia,ZMB,2010,5.43
Costa Rica,CRI,2005,5.42
World,OWID_WRL,2005,5.4132595
Colombia,COL,2005,5.41
Suriname,SUR,2005,5.41
Guinea-Bissau,GNB,2018,5.38
Antigua and Barbuda,ATG,2005,5.37
Lesotho,LSO,2005,5.37
Liberia,LBR,2010,5.37
Cuba,CUB,2005,5.36
Suriname,SUR,2018,5.33
Guinea-Bissau,GNB,2005,5.31
Ghana,GHA,2000,5.3
Nicaragua,NIC,2005,5.3
Turkmenistan,TKM,2015,5.3
Suriname,SUR,2000,5.29
Mongolia,MNG,2005,5.28
Trinidad and Tobago,TTO,2000,5.27
Namibia,NAM,2015,5.23
Mexico,MEX,2010,5.21
Nicaragua,NIC,2018,5.18
Antigua and Barbuda,ATG,2000,5.13
Myanmar,MMR,2018,5.12
Guinea-Bissau,GNB,2015,5.05
Nicaragua,NIC,2000,5.05
Colombia,COL,2010,5.04
Nicaragua,NIC,2015,5.03
Cuba,CUB,2010,5.02
Saint Vincent and the Grenadines,VCT,2000,5.01
Mauritius,MUS,2005,5
Mexico,MEX,2018,5
Cuba,CUB,2000,4.98
Ecuador,ECU,2015,4.98
Kazakhstan,KAZ,2010,4.97
Turkmenistan,TKM,2018,4.93
Mexico,MEX,2015,4.92
Zimbabwe,ZWE,2015,4.92
Cambodia,KHM,2010,4.91
Jamaica,JAM,2000,4.91
Vietnam,VNM,2010,4.9
Angola,AGO,2005,4.89
Turkmenistan,TKM,2005,4.88
Costa Rica,CRI,2018,4.87
Turkmenistan,TKM,2000,4.82
Turkmenistan,TKM,2010,4.82
Costa Rica,CRI,2010,4.8
Lesotho,LSO,2015,4.8
Nicaragua,NIC,2010,4.79
Bahamas,BHS,2018,4.78
Costa Rica,CRI,2015,4.76
Kazakhstan,KAZ,2018,4.76
Zimbabwe,ZWE,2018,4.67
Kazakhstan,KAZ,2015,4.66
Laos,LAO,2000,4.66
Bolivia,BOL,2015,4.64
Chad,TCD,2005,4.62
Lesotho,LSO,2018,4.59
Azerbaijan,AZE,2015,4.58
Bahamas,BHS,2015,4.55
Guinea-Bissau,GNB,2010,4.47
Bolivia,BOL,2018,4.43
Jamaica,JAM,2005,4.43
Lower-middle-income countries,,2018,4.421116
Azerbaijan,AZE,2018,4.41
Georgia,GEO,2000,4.41
Myanmar,MMR,2015,4.41
Lower-middle-income countries,,2015,4.404752
Guatemala,GTM,2000,4.4
Jamaica,JAM,2010,4.38
Bolivia,BOL,2005,4.37
Laos,LAO,2005,4.37
India,IND,2010,4.35
Mauritius,MUS,2018,4.35
South Asia (WB),,2018,4.346142
South Asia (WB),,2015,4.345365
Chad,TCD,2000,4.34
Guatemala,GTM,2005,4.29
Bahamas,BHS,2005,4.28
Gambia,GMB,2005,4.27
Ghana,GHA,2010,4.26
Middle-income countries,,2005,4.259375
Armenia,ARM,2000,4.23
Jamaica,JAM,2018,4.22
Israel,ISR,2018,4.21
Middle-income countries,,2000,4.2062893
Ecuador,ECU,2018,4.2
Samoa,WSM,2005,4.2
Jamaica,JAM,2015,4.19
East Asia and Pacific (WB),,2005,4.1776648
Guinea-Bissau,GNB,2000,4.15
Uzbekistan,UZB,2005,4.15
Gambia,GMB,2000,4.14
Venezuela,VEN,2018,4.14
Bahamas,BHS,2010,4.12
Sri Lanka,LKA,2015,4.1
Sri Lanka,LKA,2018,4.1
East Asia and Pacific (WB),,2000,4.090528
Zambia,ZMB,2000,4.05
China,CHN,2005,4.02
Central African Republic,CAF,2010,3.98
Haiti,HTI,2000,3.97
Mauritius,MUS,2015,3.94
Zimbabwe,ZWE,2010,3.93
Sri Lanka,LKA,2010,3.92
United Arab Emirates,ARE,2018,3.9
Zambia,ZMB,2005,3.9
El Salvador,SLV,2018,3.89
Honduras,HND,2005,3.88
Lower-middle-income countries,,2010,3.8616042
El Salvador,SLV,2000,3.86
Haiti,HTI,2005,3.86
Israel,ISR,2015,3.86
Micronesia (country),FSM,2000,3.86
Kenya,KEN,2000,3.83
North Korea,PRK,2015,3.82
China,CHN,2000,3.81
Gambia,GMB,2010,3.81
Mauritius,MUS,2010,3.81
El Salvador,SLV,2005,3.8
North Korea,PRK,2018,3.8
Samoa,WSM,2000,3.79
United Arab Emirates,ARE,2015,3.79
North Korea,PRK,2010,3.78
Ghana,GHA,2005,3.77
Honduras,HND,2018,3.76
Congo,COG,2005,3.75
Nauru,NRU,2015,3.71
Nauru,NRU,2018,3.71
Central African Republic,CAF,2000,3.68
North Korea,PRK,2005,3.68
Gambia,GMB,2015,3.67
United Arab Emirates,ARE,2005,3.64
Malawi,MWI,2018,3.63
Central African Republic,CAF,2005,3.62
Malawi,MWI,2015,3.62
El Salvador,SLV,2015,3.59
Honduras,HND,2010,3.59
Gambia,GMB,2018,3.55
North Korea,PRK,2000,3.52
Guatemala,GTM,2010,3.51
Honduras,HND,2000,3.5
Honduras,HND,2015,3.49
Azerbaijan,AZE,2000,3.45
Congo,COG,2000,3.45
South Asia (WB),,2010,3.443598
Bolivia,BOL,2000,3.44
Nauru,NRU,2005,3.4
Fiji,FJI,2015,3.33
Fiji,FJI,2018,3.32
El Salvador,SLV,2010,3.31
Cote d'Ivoire,CIV,2005,3.3
Kenya,KEN,2010,3.29
Low-income countries,,2010,3.2851098
Low-income countries,,2000,3.280916
Tajikistan,TJK,2018,3.28
Low-income countries,,2018,3.260859
Namibia,NAM,2000,3.26
Togo,TGO,2005,3.26
Fiji,FJI,2000,3.24
Low-income countries,,2015,3.2132814
Low-income countries,,2005,3.2129745
Malawi,MWI,2010,3.21
United Arab Emirates,ARE,2010,3.15
Ghana,GHA,2015,3.12
Israel,ISR,2010,3.12
Mongolia,MNG,2000,3.11
Tajikistan,TJK,2015,3.11
Israel,ISR,2000,3.08
Kenya,KEN,2005,3.01
Uzbekistan,UZB,2010,3.01
Fiji,FJI,2010,3
Haiti,HTI,2010,2.99
Azerbaijan,AZE,2010,2.97
Benin,BEN,2015,2.97
Samoa,WSM,2010,2.97
Tajikistan,TJK,2000,2.97
Lebanon,LBN,2000,2.96
Myanmar,MMR,2010,2.9
Malawi,MWI,2005,2.87
Micronesia (country),FSM,2010,2.85
Benin,BEN,2018,2.81
Fiji,FJI,2005,2.78
Kenya,KEN,2018,2.78
Micronesia (country),FSM,2005,2.78
Bhutan,BTN,2000,2.77
Kenya,KEN,2015,2.77
Zimbabwe,ZWE,2005,2.77
Lower-middle-income countries,,2005,2.7602398
Angola,AGO,2000,2.76
Lower-middle-income countries,,2000,2.7537806
Ghana,GHA,2018,2.75
Haiti,HTI,2018,2.73
Cote d'Ivoire,CIV,2018,2.71
Israel,ISR,2005,2.7
Namibia,NAM,2005,2.7
Cambodia,KHM,2005,2.69
Haiti,HTI,2015,2.69
Samoa,WSM,2018,2.66
Vietnam,VNM,2005,2.63
Cote d'Ivoire,CIV,2015,2.61
Samoa,WSM,2015,2.59
Sri Lanka,LKA,2005,2.59
Uzbekistan,UZB,2015,2.59
Uzbekistan,UZB,2018,2.59
United Arab Emirates,ARE,2000,2.58
Guatemala,GTM,2015,2.55
Cote d'Ivoire,CIV,2010,2.53
Tajikistan,TJK,2005,2.51
Ethiopia,ETH,2010,2.5
Singapore,SGP,2000,2.49
Micronesia (country),FSM,2018,2.48
Benin,BEN,2010,2.47
Benin,BEN,2000,2.46
Togo,TGO,2018,2.46
Zimbabwe,ZWE,2000,2.46
Guatemala,GTM,2018,2.45
Micronesia (country),FSM,2015,2.44
Central African Republic,CAF,2015,2.43
Malawi,MWI,2000,2.42
Turkey,TUR,2000,2.41
Tajikistan,TJK,2010,2.4
Central African Republic,CAF,2018,2.38
Togo,TGO,2015,2.37
Ethiopia,ETH,2018,2.36
India,IND,2005,2.33
Mozambique,MOZ,2000,2.33
Tonga,TON,2005,2.32
Turkey,TUR,2010,2.32
Lebanon,LBN,2005,2.31
Mozambique,MOZ,2018,2.3
India,IND,2000,2.28
Vanuatu,VUT,2018,2.25
Benin,BEN,2005,2.23
Maldives,MDV,2018,2.22
Sri Lanka,LKA,2000,2.22
Vietnam,VNM,2000,2.21
Ethiopia,ETH,2015,2.19
Mozambique,MOZ,2015,2.19
Singapore,SGP,2010,2.19
East Timor,TLS,2018,2.17
Kiribati,KIR,2005,2.16
Vanuatu,VUT,2015,2.14
Tunisia,TUN,2018,2.12
Turkey,TUR,2005,2.12
Turkey,TUR,2015,2.12
Madagascar,MDG,2000,2.11
Togo,TGO,2010,2.11
Eritrea,ERI,2005,2.08
Maldives,MDV,2015,2.07
Singapore,SGP,2015,2.07
Democratic Republic of Congo,COD,2015,2.05
Ethiopia,ETH,2005,2.05
Nepal,NPL,2015,2.05
Nepal,NPL,2018,2.05
Turkey,TUR,2018,2.05
Maldives,MDV,2000,2.04
Singapore,SGP,2018,2.03
Tuvalu,TUV,2005,2.03
East Timor,TLS,2015,2.01
Democratic Republic of Congo,COD,2018,2
Namibia,NAM,2010,1.99
Tunisia,TUN,2015,1.99
Tuvalu,TUV,2015,1.98
Madagascar,MDG,2018,1.97
Kiribati,KIR,2000,1.96
Tuvalu,TUV,2000,1.96
Nepal,NPL,2005,1.95
Lebanon,LBN,2010,1.94
Nepal,NPL,2010,1.94
South Asia (WB),,2005,1.9050809
Madagascar,MDG,2015,1.88
Cambodia,KHM,2000,1.87
Madagascar,MDG,2010,1.87
South Asia (WB),,2000,1.8545389
Solomon Islands,SLB,2018,1.83
Azerbaijan,AZE,2005,1.81
Papua New Guinea,PNG,2000,1.79
Togo,TGO,2000,1.79
Singapore,SGP,2005,1.78
Bahrain,BHR,2005,1.76
Ethiopia,ETH,2000,1.76
Democratic Republic of Congo,COD,2010,1.75
Bahrain,BHR,2000,1.74
Lebanon,LBN,2018,1.71
Tonga,TON,2000,1.7
Vanuatu,VUT,2010,1.7
Bahrain,BHR,2010,1.69
Qatar,QAT,2010,1.69
Tuvalu,TUV,2010,1.68
Papua New Guinea,PNG,2010,1.67
Qatar,QAT,2005,1.67
Kiribati,KIR,2010,1.65
Lebanon,LBN,2015,1.65
Maldives,MDV,2010,1.65
Myanmar,MMR,2005,1.65
Mozambique,MOZ,2010,1.63
Djibouti,DJI,2000,1.62
Qatar,QAT,2015,1.62
Bhutan,BTN,2005,1.6
Papua New Guinea,PNG,2005,1.6
Solomon Islands,SLB,2005,1.6
